cell_id	poi_count_total	poi_amenity_count	poi_shop_count	poi_tourism_count	poi_leisure_count	poi_office_count	poi_public_transport_count	poi_log1p_total
4_63	0	0	0	0	0	0	0	0.0
4_64	0	0	0	0	0	0	0	0.0
4_65	0	0	0	0	0	0	0	0.0
4_66	0	0	0	0	0	0	0	0.0
4_67	3	3	0	0	0	0	0	1.3862943611198906
4_68	0	0	0	0	0	0	0	0.0
4_69	0	0	0	0	0	0	0	0.0
4_70	0	0	0	0	0	0	0	0.0
4_71	0	0	0	0	0	0	0	0.0
4_72	0	0	0	0	0	0	0	0.0
4_73	0	0	0	0	0	0	0	0.0
4_74	0	0	0	0	0	0	0	0.0
4_75	0	0	0	0	0	0	0	0.0
4_76	0	0	0	0	0	0	0	0.0
4_77	22	14	0	7	0	0	1	3.1354942159291497
4_78	11	6	1	0	1	0	3	2.4849066497880004
4_79	6	3	0	2	0	0	1	1.9459101490553132
4_80	0	0	0	0	0	0	0	0.0
4_81	5	2	0	3	0	0	0	1.791759469228055
4_82	0	0	0	0	0	0	0	0.0
4_83	10	2	1	7	0	0	0	2.3978952727983707
4_84	0	0	0	0	0	0	0	0.0
4_85	0	0	0	0	0	0	0	0.0
4_86	1	0	0	1	0	0	0	0.6931471805599453
4_87	0	0	0	0	0	0	0	0.0
4_88	0	0	0	0	0	0	0	0.0
4_89	3	2	0	1	0	0	0	1.3862943611198906
4_90	0	0	0	0	0	0	0	0.0
4_91	0	0	0	0	0	0	0	0.0
4_92	4	2	1	0	1	0	0	1.6094379124341003
4_93	2	1	0	0	1	0	0	1.0986122886681098
4_94	32	12	1	0	16	0	3	3.4965075614664802
4_95	29	20	2	0	7	0	0	3.4011973816621555
4_96	6	5	0	0	1	0	0	1.9459101490553132
4_97	10	6	1	1	2	0	0	2.3978952727983707
4_98	13	5	1	7	0	0	0	2.6390573296152584
4_99	0	0	0	0	0	0	0	0.0
4_100	0	0	0	0	0	0	0	0.0
5_1	0	0	0	0	0	0	0	0.0
5_2	0	0	0	0	0	0	0	0.0
5_3	0	0	0	0	0	0	0	0.0
